frame_index,latitude,longitude
0,28.612,77.2395
30,28.613253,77.239421
60,28.614487,77.239186
90,28.615681,77.238798
120,28.616818,77.238263
150,28.617878,77.23759
180,28.618845,77.23679
210,28.619705,77.235874
240,28.620443,77.234858
270,28.621048,77.233758
300,28.621511,77.23259
330,28.621823,77.231374
360,28.62198,77.230128
390,28.62198,77.228872
420,28.621823,77.227626
450,28.621511,77.22641
480,28.621048,77.225242
510,28.620443,77.224142
540,28.619705,77.223126
570,28.618845,77.22221
600,28.617878,77.22141
630,28.616818,77.220737
660,28.615681,77.220202
690,28.614487,77.219814
720,28.613253,77.219579
750,28.612,77.2195
780,28.610747,77.219579
810,28.609513,77.219814
840,28.608319,77.220202
870,28.607182,77.220737
900,28.606122,77.22141
930,28.605155,77.22221
960,28.604295,77.223126
990,28.603557,77.224142
1020,28.602952,77.225242
1050,28.602489,77.22641
1080,28.602177,77.227626
1110,28.60202,77.228872
1140,28.60202,77.230128
1170,28.602177,77.231374
1200,28.602489,77.23259
1230,28.602952,77.233758
1260,28.603557,77.234858
1290,28.604295,77.235874
1320,28.605155,77.23679
1350,28.606122,77.23759
1380,28.607182,77.238263
1410,28.608319,77.238798
1440,28.609513,77.239186
1470,28.610747,77.239421
1500,28.612,77.2395
1530,28.613253,77.239421
1560,28.614487,77.239186
1590,28.615681,77.238798
1620,28.616818,77.238263
1650,28.617878,77.23759
1680,28.618845,77.23679
1710,28.619705,77.235874
1740,28.620443,77.234858
1770,28.621048,77.233758
1800,28.621511,77.23259
1830,28.621823,77.231374
1860,28.62198,77.230128
1890,28.62198,77.228872
1920,28.621823,77.227626
1950,28.621511,77.22641
1980,28.621048,77.225242
2010,28.620443,77.224142
2040,28.619705,77.223126
2070,28.618845,77.22221
2100,28.617878,77.22141
2130,28.616818,77.220737
2160,28.615681,77.220202
2190,28.614487,77.219814
2220,28.613253,77.219579
2250,28.612,77.2195
2280,28.610747,77.219579
2310,28.609513,77.219814
2340,28.608319,77.220202
2370,28.607182,77.220737
2400,28.606122,77.22141
2430,28.605155,77.22221
2460,28.604295,77.223126
2490,28.603557,77.224142
2520,28.602952,77.225242
2550,28.602489,77.22641
2580,28.602177,77.227626
2610,28.60202,77.228872
2640,28.60202,77.230128
2670,28.602177,77.231374
2700,28.602489,77.23259
2730,28.602952,77.233758
2760,28.603557,77.234858
2790,28.604295,77.235874
2820,28.605155,77.23679
2850,28.606122,77.23759
2880,28.607182,77.238263
2910,28.608319,77.238798
2940,28.609513,77.239186
2970,28.610747,77.239421
