latitude,longitude
28.5245,77.2066
28.5252,77.2075
28.5260,77.2085
28.5268,77.2096
28.5276,77.2108
28.5283,77.2120
28.5290,77.2133
28.5296,77.2146
28.5300,77.2159
28.5303,77.2172
28.5304,77.2186
28.5303,77.2200
28.5300,77.2213
28.5296,77.2225
28.5291,77.2236
28.5285,77.2245
28.5278,77.2252
28.5271,77.2257
28.5264,77.2258
28.5257,77.2257
28.5251,77.2252
28.5246,77.2245
28.5243,77.2236
28.5241,77.2225
28.5241,77.2213
28.5243,77.2200
28.5246,77.2188
28.5251,77.2176
28.5255,77.2164
28.5257,77.2151
28.5257,77.2137
28.5254,77.2124
28.5250,77.2111
28.5246,77.2100
28.5243,77.2088
28.5242,77.2077
28.5245,77.2066
